Ingredient,"Full Name

(if the only custom ingredient)","Partial Name

""[$t ][$f ][$e ]Arrow[ with a $s Core]""
Dye arrow's ""partial name"" behaves like the full name",,"Categories


no___: what it can't go with if one of them is a stick or effect
req__: what it must go with, the type does not matter","Custom Stats


""@"" seperates stats
""&"" seperates stat options

Excuse the painful to read formatting, a script is used to convert this spreadsheet into a folder of recipies containing every possible valid combination (stats are applied via custom NBT).

Note that tips should generally have the biggest impact on damage + impact effects, sticks impact gravity + integrity + draw speed, fins impact flying speed. However they don't have to stick to this rule.
Also note that damage calculations will revert the flySpeed multiplier.
Finally, damage mult only applies to the damage the arrow does directly, things like firework explosion damage are unaffected
","RenderMode


ModelType&TextureID
Note that ModelType/TextureID are different depending on the item type (e.g ""Blaze"" stick and effect textures are different)"
minecraft:flint,_,_,t,_,_,texture&1
minecraft:stick,_,_,s,noFire Stick,_,texture&1
minecraft:feather,_,_,f,noFire,_,texture&1
minecraft:glowstone_dust,_,Spectral,e,noWet,applyEffect&minecraft:glowing&10&1@particle&minecraft:instant_effect,none&
minecraft:blaze_rod,Blaze Arrow,Blaze,s,noWet noCold Fire,fireChance&0.05@fireChance&0.5@damageMult&1.125@drawSpeed&1.25@gravityMult&0.75@breaksWhenWet@blockHitActions&0.5&destroy&fletching-additions:blaze_crush&0.25&drop&minecraft:blaze_powder&1&fletching-additions:blaze_crush&0.25&doNothing&fletching-additions:blaze_impact@dynamicLightingIfPossible,texture&2
minecraft:prismarine_shard,Prismarine Arrow,Prismarine Finned,f,_,waterSpeed,texture&2
minecraft:bone,Bone Arrow,Bone,s,_,,texture&5
minecraft:amethyst_shard,Amethyst Arrow,Amethyst Tipped,t,_,damageMult&1.5@impactSoundIncreasePitchNoAngle@blockHitActions&1&doNothing&fletching-additions:crystal_impact@farSound,texture&2
minecraft:blaze_powder,Blaze Infused Arrow,Blaze Infused,e,noWet Fire,fireChance&0.05@fireChance&0.75,none&
minecraft:firework_rocket,Rocket Powered Arrow,Rocket Powered,f,noHidesInfo noFire,skipThisComment&gravityMult only applies after the firework duration. otherwise its 0@damageMult&1@drawSpeed&0.25@inheritFireworkNBT@gravityMult&1.25@flySpeed&2@drawMinMult&2,texture&162
minecraft:dried_kelp,Dried Kelp Arrow,Dried Kelp Finned,f,noFire,flySpeed&0.75@damageMult&0.75,texture&4
minecraft:lightning_rod,,,s,SturdyCore,,model&minecraft:lightning_rod
minecraft:bamboo,Bamboo Arrow,Bamboo,s,noFire,gravityMult&0.875@flySpeed&1.125@damageMult&0.875&drawSpeed&1.125,texture&3
minecraft:iron_bars,Iron Arrow,Iron,s,SturdyCore,gravityMult&1.75@flySpeed&0.5714285714@damageMult&1.75&drawSpeed&0.5714285714,model&minecraft:iron_bars
minecraft:torch,Flaming Arrow,Flaming,t,_,fireChance&0.25,texture&3
minecraft:soul_torch,Soul Flame Arrow,Soul Flame,t,_,fireChance&0.20@isSoulFire,texture&4
minecraft:pointed_dripstone,Dripstone Arrow,,t,,,texture&161
minecraft:fire_charge,Fire Charged Arrow,Fire Charged,t,Fire noWet noCold,fireChance&1@fireChance&0.25,texture&5
minecraft:ice,,,t,Cold noFire,,
minecraft:packed_ice,,,t,Cold,,texture&6
minecraft:blue_ice,,,t,Cold,,texture&7
minecraft:end_rod,,,s,SturdyCore,,model&minecraft:end_rod
minecraft:gunpowder,,,e,noFire noWet,,none&
minecraft:slime,Slimy Arrow,Slimy,e,Sticky,,tint&#00ff00
minecraft:[DYE]_dye,[DYE] Arrow,[DYE] Arrow?,e,noWet HidesInfo,skipThisComment&dyes can be used to hide what a custom arrow is made of@replaceTextures@partialNameIsFull,texture&8+[DYE_INDEX]
minecraft:magma_cream,,,e,,,none&
